Gegenstand;zugewiesene Gruppen;Brutto Betrag;Dokument;Kostenstellen;Kreditorname;Kreditornr.;Mandantenname;Mandantennr.;Netto Betrag;Prozessinstanz;Rechnungsdatum;Standort;Externe Belegnr.;Belegart;Empfangsdatum;Link zur Aufgabe;
KST Belegung;EAV_Buchhaltung;29,72;IL00011075;907000;Hellmann Worldwide Logistics Road&Rail G;700022700;Ferronordic GmbH;10002;25,62;Verwaltung;19.11.2020;Dessau;020293;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49206?task_form_url_id=32740fa2ef7649686d5e75d553e4875d;
KST Belegung;EAV_Buchhaltung;142540,80;IL00011074;907000;Volvo Truck Corporation;700012400;Ferronordic GmbH;10002;122880,00;Verwaltung;19.11.2020;Dessau;3304218;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49205?task_form_url_id=66c0d9d73efc1c367dc0bc00c0d86e21;
KST Belegung;EAV_Buchhaltung;105,56;IL00011088;907000;Offset Druckerei Kaspers GmbH;700002300;Ferronordic GmbH;10002;91,00;Verwaltung;12.11.2020;Dessau;21342;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49203?task_form_url_id=a4ee21ff853c36fa4ee8d808c9d9f2f3;
KST Belegung;EAV_Buchhaltung;11,60;IL00011087;907000;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;10,00;Verwaltung;17.11.2020;Dessau;64464780;Credit Note;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49202?task_form_url_id=81c541be7a74fb3bb64d29e0cc7d7526;
KST Belegung;EAV_Buchhaltung;91,65;IL00011086;907000;Verlag für d. Dt. Wirtschaft AG;700016800;Ferronordic GmbH;10002;87,29;Verwaltung;18.11.2020;Dessau;21-2518278;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49201?task_form_url_id=0bc99b7dab3cd1beba524235725acc40;
KST Belegung;EAV_Buchhaltung;105,56;IL00011084;907000;Offset Druckerei Kaspers GmbH;700002300;Ferronordic GmbH;10002;91,00;Verwaltung;12.11.2020;Dessau;21341;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49200?task_form_url_id=f9acbf412148aace4510cd168bd2df39;
KST Belegung;EAV_Buchhaltung;142540,80;IL00011083;907000;Volvo Truck Corporation;700012400;Ferronordic GmbH;10002;122880,00;Verwaltung;19.11.2020;Dessau;3304217;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49199?task_form_url_id=78f080ede33221f43f83395cd708b070;
KST Belegung;EAV_Buchhaltung;252,88;IL00011082;907000;fritzwerbung Inh. Thomas Fritz;700037500;Ferronordic GmbH;10002;218,00;Verwaltung;19.11.2020;Dessau;20200496;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49198?task_form_url_id=9354a8cc09b787a488b6d0534015772f;
KST Belegung;EAV_Buchhaltung;1504,55;IL00011081;907000;Volvo Group Trucks Service GmbH;700000900;Ferronordic GmbH;10002;1504,55;Verwaltung;18.11.2020;Dessau;Kundennr.159316;Credit Note;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49197?task_form_url_id=69dc1ad90846d78ca679b0f60ead0b60;
KST Belegung;EAV_Buchhaltung;137,92;IL00011090;907000;Cargobull Parts & Services GmbH;700004300;Ferronordic GmbH;10002;118,90;Verwaltung;17.11.2020;Dessau;212412843;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49195?task_form_url_id=b3d50ad62476e935d281b28710829443;
KST Belegung;EAV_Buchhaltung;45,94;IL00011091;907000;EUROPART Trading GmbH;700003700;Ferronordic GmbH;10002;39,60;Verwaltung;13.11.2020;Dessau;17831892;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49194?task_form_url_id=1eb1fc8e73120616470f420332f9c77b;
KST Belegung;EAV_Buchhaltung;0,00;IL00011064;907000;EUROPART Trading GmbH;700003700;Ferronordic GmbH;10002;0,00;Verwaltung;13.11.2020;Dessau;17831892;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49221?task_form_url_id=edfcd454d669cc1c46452ca45ac72813;
KST Belegung;EAV_Buchhaltung;145,00;IL00008255;224000, 204000;Palfinger Tail Lifts GmbH;700021700;Ferronordic GmbH;10002;125,00;Shops;05.11.2020;Dresden;3383153;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/46881?task_form_url_id=536e1130c1f72618652b0bf70e826a08;
Rechnungsprüfung < 15.000 ?;EAV_Verwaltung_Stufe1;4663,64;IL00008943;907400;Robert Half Deutschland GmbH & Co. KG;700005000;Ferronordic GmbH;10002;4020,38;Verwaltung;31.10.2020;Dresden;M104421;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/47414?task_form_url_id=c956764d87ea0bb80e85a015f95da054;
Rechnungsprüfung < 2.000 ?;EAV_Shops_Frankfurt_Stufe1;1841,80;IL00008314;202400;Inge Seeger;700072800;Ferronordic GmbH;10002;1841,80;Shops;30.10.2020;Frankfurt;2020-10114;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/46934?task_form_url_id=eb53c2c4be9348f85aac028b012acbb4;
Rechnungsprüfung < 15.000 ?;EAV_Verwaltung_Stufe1;11574,48;IL00008678;907400;addVALUE audit&tax GmbH WPG;700000100;Ferronordic GmbH;10002;9978,00;Verwaltung;30.10.2020;Frankfurt;211;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/47161?task_form_url_id=1af7f55e340d94d5a35e0979ecabcc8e;
Rechnungsprüfung < 2.000 ?;EAV_Verwaltung_Stufe1;28,33;IL00010309;907200;JACOB Elektronik GmbH;700061400;Ferronordic GmbH;10002;24,42;Verwaltung;13.11.2020;Frankfurt;SRE6368368;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48602?task_form_url_id=ec3b1f3444943fee08b3bc49c9e9026e;
Rechnungsprüfung < 15.000 ?;EAV_Shops_Frankfurt_Stufe1;5447,40;IL00007105;402400;LogPay Transport Services GmbH;700050700;Ferronordic GmbH;10002;5447,40;Shops;27.10.2020;Frankfurt;0010023755;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/45561?task_form_url_id=86cbb449a680a2fea126cd24988e28f0;
KST Belegung;EAV_Buchhaltung;777,43;IL00010858;402400;Cargobull Parts & Services GmbH;700004300;Ferronordic GmbH;10002;670,20;Shops;17.11.2020;Frankfurt;212412842;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49152?task_form_url_id=adc22bb21cfdaa23cc9fe61d176132c2;
KST Belegung;EAV_Buchhaltung;433,96;IL00010855;402400;KLC Karosserie- & Lackiercenter GmbH;700037600;Ferronordic GmbH;10002;374,10;Shops;13.11.2020;Frankfurt;2011029;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49151?task_form_url_id=50ccc8650893ec8a54acb56db3db3191;
Freigabe abgelehnt;EAV_Buchhaltung;105,56;IL00001752;404000;Offset Druckerei Kaspers GmbH;700002300;Ferronordic GmbH;10002;91,00;Shops;30.09.2020;Hannover;21278;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/40979?task_form_url_id=1dcf346323cfd6bd9ae3ad2202ab7165;
Freigabe abgelehnt;EAV_Buchhaltung;105,56;IL00001755;903100;Offset Druckerei Kaspers GmbH;700002300;Ferronordic GmbH;10002;91,00;Shops;30.09.2020;Hannover;21276;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/40976?task_form_url_id=1bbb6b5ae97661473d997866fa34f00d;
Freigabe abgelehnt;EAV_Buchhaltung;206,48;IL00001700;903100;Offset Druckerei Kaspers GmbH;700002300;Ferronordic GmbH;10002;178,00;Shops;30.09.2020;Hannover;21275;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/41031?task_form_url_id=3a7811bc0cc0da81645b7085e9a31241;
Freigabe abgelehnt;EAV_Buchhaltung;139,20;IL00007273;902400;Egencia GmbH;700089900;Ferronordic GmbH;10002;120,00;Shops;01.11.2020;Frankfurt;GEI6720995;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/46017?task_form_url_id=04549755f7496603df2fdb848aec5a34;
KST Belegung;EAV_Buchhaltung;573,13;IL00010837;902400;Hydraulik Lemcke OHG;700072200;Ferronordic GmbH;10002;494,08;Shops;19.11.2020;Frankfurt;4604;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49145?task_form_url_id=2ae99b1a2dbe7b7461c7704dbfc7852d;
KST Belegung;EAV_Buchhaltung;144,35;IL00010838;902400;Cargobull Parts & Services GmbH;700004300;Ferronordic GmbH;10002;124,44;Shops;17.11.2020;Frankfurt;212412841;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49144?task_form_url_id=04418af68b91b8d1259b85e9f41408ec;
KST Belegung;EAV_Buchhaltung;806,27;IL00010839;902400;Cargobull Parts & Services GmbH;700004300;Ferronordic GmbH;10002;695,06;Shops;16.11.2020;Frankfurt;212412013;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49143?task_form_url_id=dd2c86acf7c12828c3390dadce68fdba;
Rechnungsprüfung < 2.000 ?;EAV_Verwaltung_Stufe1;114,60;IL00009057;907000;BTB GmbH Berlin;700086700;Ferronordic GmbH;10002;97,70;Verwaltung;03.11.2020;Frankfurt;2020-8100011976;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/47572?task_form_url_id=4f564fba1dce1f56798c9ce4a8ed3373;
Rechnungsprüfung < 2.000 ?;EAV_Verwaltung_Stufe1;180,00;IL00001025;907110;Autovermietung Perkel Inh.Aykut Perkel;700031600;Ferronordic GmbH;10002;155,17;Verwaltung;05.09.2020;Frankfurt;2009007372;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/40503?task_form_url_id=b48d8a51cf164e808ef6ed188350ff85;
KST Belegung;EAV_Buchhaltung;83393,56;IL00010800;907110;Volvo Truck Corporation;700012400;Ferronordic GmbH;10002;71891,00;Verwaltung;19.11.2020;Frankfurt;3304202;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49076?task_form_url_id=45dd012ccf6bda9936d69107bc240d43;
KST Belegung;EAV_Buchhaltung;77,07;IL00010801;907110;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;66,44;Verwaltung;18.11.2020;Frankfurt;20497016;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49075?task_form_url_id=78a03c31bb07b3784237bd7e0651051f;
KST Belegung;EAV_Buchhaltung;696,00;IL00010802;907110;Karosserie & Lack Marco Johannes;700069100;Ferronordic GmbH;10002;600,00;Verwaltung;18.11.2020;Frankfurt;1040;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49074?task_form_url_id=3b3b1f48db144c5c29c64f9ca87551bc;
KST Belegung;EAV_Buchhaltung;28,00;IL00010803;907110;Stadtpflege Eigenbetrieb der Stadt Dessa;700076400;Ferronordic GmbH;10002;28,00;Verwaltung;12.11.2020;Frankfurt;20R/201030;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49073?task_form_url_id=a81fd4f4278ee5f61ac560d8026daaff;
KST Belegung;EAV_Buchhaltung;86,07;IL00010804;907110;TNT Express GmbH;700021200;Ferronordic GmbH;10002;74,20;Verwaltung;19.11.2020;Frankfurt;811059609;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49072?task_form_url_id=58847b3bc1966f42d6bbf93f1864e197;
KST Belegung;EAV_Buchhaltung;115,59;IL00010805;907110;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;99,65;Verwaltung;18.11.2020;Frankfurt;20497015;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49071?task_form_url_id=3dfacb182869885d45ce3687b975f45c;
KST Belegung;EAV_Buchhaltung;1130,77;IL00010806;907110;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;974,80;Verwaltung;18.11.2020;Frankfurt;20497014;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49070?task_form_url_id=3338e88ad7862589c2cf11fc16e916a9;
KST Belegung;EAV_Buchhaltung;83393,56;IL00010807;907110;Volvo Truck Corporation;700012400;Ferronordic GmbH;10002;71891,00;Verwaltung;19.11.2020;Frankfurt;3304207;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49069?task_form_url_id=26630391a32bd9f5b31af8a036e11fd5;
KST Belegung;EAV_Buchhaltung;200,68;IL00010808;907110;RTC Reifentechnik Steffen Stage;700084800;Ferronordic GmbH;10002;173,00;Verwaltung;19.11.2020;Frankfurt;2020/0882;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49068?task_form_url_id=573ff2b98d5bc7dfa9ba0c5f11aec8d1;
KST Belegung;EAV_Buchhaltung;111097,84;IL00010809;907110;Volvo Truck Corporation;700012400;Ferronordic GmbH;10002;95774,00;Verwaltung;19.11.2020;Frankfurt;3304201;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49067?task_form_url_id=8f780ddfe50acb65f284587c5f9d2679;
KST Belegung;EAV_Buchhaltung;154,70;IL00010785;907110;VEL GmbH;700000600;Ferronordic GmbH;10002;154,70;Verwaltung;13.11.2020;Frankfurt;7006871794;Credit Note;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49065?task_form_url_id=9af0f37bb1c8c8fcbdfe9d7877788a5f;
